DateChargement_jour,DateLivraison_jour,Poids
55.0,57.0,0.49121
55.0,56.0,2.03841
55.0,58.0,0.292
55.0,56.0,0.24256
55.0,57.0,0.55006
55.0,56.0,7.4905
55.0,56.0,0.6
55.0,58.0,0.402
55.0,56.0,0.799
55.0,56.0,0.52256
55.0,56.0,3.1555
55.0,56.0,3.2197
55.0,59.0,3.54509
55.0,57.0,1.61296
55.0,56.0,0.77718
55.0,57.0,0.47907
55.0,58.0,0.40681
56.0,57.0,0.5141
56.0,60.0,0.84714
56.0,59.0,0.64776
56.0,59.0,1.662
56.0,57.0,5.31326
56.0,56.0,5.10677
56.0,59.0,7.68
56.0,57.0,0.76486
56.0,57.0,0.727
56.0,57.0,0.48122
56.0,59.0,0.96762
56.0,57.0,0.47
56.0,57.0,0.55954
56.0,57.0,0.59867
56.0,58.0,0.6664
56.0,57.0,2.36584
56.0,57.0,0.108
56.0,57.0,2.38041
56.0,57.0,0.72337
56.0,57.0,2.80032
56.0,57.0,2.69241
56.0,57.0,0.4404
56.0,58.0,2.41375
56.0,57.0,2.52926
56.0,58.0,2.59698
56.0,57.0,0.2851
56.0,58.0,0.57898
57.0,58.0,0.64504
57.0,58.0,1.4976
57.0,58.0,0.65825
57.0,61.0,4.599
57.0,58.0,0.2266
57.0,58.0,0.7108
57.0,58.0,1.37564
57.0,58.0,2.10622
57.0,58.0,5.11807
57.0,58.0,4.53582
57.0,62.0,6.86005
57.0,58.0,4.471
57.0,61.0,0.939
57.0,58.0,0.284
57.0,58.0,2.88322
57.0,58.0,1.04907
57.0,59.0,0.81
57.0,61.0,3.16229
57.0,61.0,0.321
57.0,58.0,0.41318
57.0,58.0,1.2648
57.0,58.0,0.659
57.0,58.0,1.53041
58.0,58.0,3.37
58.0,60.0,0.17754
58.0,59.0,0.354
58.0,59.0,0.79
58.0,59.0,1.0302
58.0,59.0,0.75664
58.0,59.0,0.759
58.0,59.0,0.53481
58.0,59.0,2.7366
58.0,59.0,1.39032
58.0,59.0,0.1783
58.0,59.0,1.77894
58.0,59.0,1.7395
58.0,60.0,2.69248
58.0,62.0,1.29356
58.0,59.0,2.35296
